title,url,page,text,Category,Rank,Hide,isFree,isTopRated,verified,premium,imgUrl,logoUrl
TensorFlow,https://www.tensorflow.org/,tensorflow,TensorFlow makes it easy to create ML models that can run in any environment. Learn how to use the intuitive APIs through interactive code samples.,Deep Learning; Neural Network Framework; Generative AI; Machine Learning Frameworks,190000,FALSE,TRUE,TRUE,TRUE,TRUE,https://drive.google.com/file/d/1-Xyi9f_b8N8nyUgrLPadtrig_xB103HX/view,https://www.gstatic.com/devrel-devsite/prod/vc38a15f5a89ceb3dee5ad4d2d7b57b718d8556c0e3724a12c131a2b9d037d8c7/tensorflow/images/lockup.svg
NumPy,https://numpy.org/,numpy,Data scientist looking for a fast and user-friendly tool to conduct data analysis.,Data Manipulation; Scientific Computing,,FALSE,TRUE,TRUE,TRUE,FALSE,,https://numpy.org/images/logo.svg
Keras,https://keras.io/,keras,Developers who are looking to experiment and bring their ideas to life fast.,Deep Learning; Machine Learning Frameworks,62000,FALSE,TRUE,TRUE,TRUE,FALSE,,https://keras.io/img/logo.png
SciPy,https://scipy.org/,scipy,It is best known for its ability to perform scientific and technical computing on large sets of data.,Scientific Computing,13000,FALSE,TRUE,TRUE,TRUE,FALSE,,https://scipy.org/images/logo.svg
Seaborn,https://seaborn.pydata.org/,seaborn,Seaborn is an open-source Python library built on top of Matplotlib. It is used in many machine learning projects due to its ability to generate plots of learning data.,Data Visualization,13000,FALSE,TRUE,TRUE,TRUE,FALSE,,https://seaborn.pydata.org/_static/logo-wide-lightbg.svg
Scikit-learn,https://scikit-learn.org/stable/,scikit-learn,Models that are being trained to detect spam or recognize images.,Machine Learning Frameworks,61000,,,,,,,https://scikit-learn.org/stable/_static/scikit-learn-logo-small.png
Plotly,https://plotly.com/python/,plotly,Developers and data analysts looking for an interactive and customizable tool to present their information.,Data Visualization,17000,,,,,,,https://plotly.com/all_static/images/graphing_library.svg
Matplotlib,https://matplotlib.org/,matplotlib,Newbies or professionals looking to create sophisticated plots with a visual component.,Data Visualization,21000,,,,,,,https://matplotlib.org/_static/logo_light.svg
PyTorch,https://pytorch.org/,pytorch,Developers looking for a flexible and intuitive platform for deep learning models.,Deep Learning; Neural Network Framework; Generative AI; Machine Learning Frameworks,85000,,,,,,,https://pytorch.org/assets/images/logo-white.svg
PyTensor,https://pytensor.readthedocs.io/en/latest/,pytensor,"PyTensor is a Python library that allows you to define, optimize/rewrite, and evaluate mathematical expressions involving multi-dimensional arrays efficiently.",Deep Learning; Tensor Computation,,,,,,,,https://pytensor.readthedocs.io/en/latest/_static/PyTensor_RGB.svg
Pandas,https://pandas.pydata.org/,pandas,"is a fast, powerful, flexible and easy to use open source data analysis and manipulation tool,
built on top of the Python programming language.",Data Manipulation; Data Analysis,,,,,,,,https://pandas.pydata.org/static/img/pandas_white.svg
